City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Condition
59,Esso,RU,2022-08-09 05:09:22,55.9333,158.7,75.22,48,50,11.61,scattered clouds
60,Torbay,CA,2022-08-09 05:09:23,47.6666,-52.7314,58.75,90,75,8.99,broken clouds
61,Paragominas,BR,2022-08-09 05:09:23,-2.9667,-47.4833,69.31,73,17,3.78,few clouds
62,Lebu,CL,2022-08-09 05:09:24,-37.6167,-73.65,44.83,82,86,7.27,overcast clouds
63,Rawson,AR,2022-08-09 05:09:24,-43.3002,-65.1023,42.51,69,61,15.57,broken clouds
64,Arraial Do Cabo,BR,2022-08-09 05:09:24,-22.9661,-42.0278,70.02,89,99,7.56,overcast clouds
65,Saskylakh,RU,2022-08-09 05:09:25,71.9167,114.0833,66.94,58,49,14.2,scattered clouds
66,Hithadhoo,MV,2022-08-09 05:09:25,-0.6,73.0833,81.68,66,75,1.7,broken clouds
67,Kloulklubed,PW,2022-08-09 05:09:26,7.0419,134.2556,84.7,73,98,8.16,overcast clouds
68,Butaritari,KI,2022-08-09 05:09:26,3.0707,172.7902,82.06,76,22,15.32,light rain
69,Hermanus,ZA,2022-08-09 05:09:27,-34.4187,19.2345,54.81,77,5,1.19,clear sky
70,Kavieng,PG,2022-08-09 05:09:27,-2.5744,150.7967,83.5,71,20,8.99,few clouds
71,Yining,CN,2022-08-09 05:09:27,29.0361,114.5636,99.84,36,56,8.95,broken clouds
72,Chuy,UY,2022-08-09 05:09:28,-33.6971,-53.4616,47.7,87,64,7.43,broken clouds
73,Kutum,SD,2022-08-09 05:09:28,14.2,24.6667,73.02,71,100,2.15,overcast clouds
74,Rosita,NI,2022-08-09 05:09:29,13.9268,-84.4032,73.04,98,100,2.86,overcast clouds
75,Kulachi,PK,2022-08-09 05:09:29,31.9286,70.4592,99.16,39,3,9.15,clear sky
76,East London,ZA,2022-08-09 05:09:30,-33.0153,27.9116,60.03,81,69,6.42,broken clouds
77,Dikson,RU,2022-08-09 05:09:30,73.5069,80.5464,41.74,96,43,21.56,scattered clouds
78,Carnarvon,AU,2022-08-09 05:09:31,-24.8667,113.6333,67.3,46,1,21.0,clear sky
79,Srednekolymsk,RU,2022-08-09 05:09:31,67.45,153.6833,83.03,38,83,5.28,broken clouds
80,Caloundra,AU,2022-08-09 05:09:32,-26.8,153.1333,69.12,48,1,5.01,clear sky
81,Lamu,KE,2022-08-09 05:09:32,-2.2717,40.902,75.45,74,33,16.02,scattered clouds
82,Egvekinot,RU,2022-08-09 05:09:33,66.3167,-179.1667,47.32,52,2,7.45,clear sky
83,Senanga,ZM,2022-08-09 05:09:33,-16.1167,23.2667,52.61,36,0,3.83,clear sky
84,Del Rio,US,2022-08-09 05:07:40,29.3627,-100.8968,87.91,47,0,16.11,clear sky
85,Boende,CD,2022-08-09 05:10:34,-0.2167,20.8667,71.29,77,49,0.92,scattered clouds
86,Fukue,JP,2022-08-09 05:10:34,32.6881,128.8419,85.19,72,89,11.3,overcast clouds
87,Pouembout,NC,2022-08-09 05:10:35,-21.1333,164.9,69.94,56,56,7.83,broken clouds
88,Vao,NC,2022-08-09 05:10:35,-22.6667,167.4833,68.49,57,36,16.82,scattered clouds
89,Atuona,PF,2022-08-09 05:10:35,-9.8,-139.0333,77.54,69,31,16.42,scattered clouds
90,La Union,PE,2022-08-09 05:10:36,-5.4,-80.75,62.82,78,4,8.43,clear sky
91,Ancud,CL,2022-08-09 05:10:36,-41.8697,-73.8203,45.23,87,100,4.92,overcast clouds
92,Luang Prabang,LA,2022-08-09 05:10:36,19.8856,102.1347,86.04,64,99,1.12,overcast clouds
93,Yenagoa,NG,2022-08-09 05:10:37,4.9247,6.2642,73.35,96,100,2.91,light rain
94,Angol,CL,2022-08-09 05:10:40,-37.8,-72.7167,42.06,91,71,4.09,broken clouds
95,San Clemente,US,2022-08-09 05:10:40,33.427,-117.612,82.22,87,29,1.99,scattered clouds
96,Kawalu,ID,2022-08-09 05:10:41,-7.3817,108.2082,81.37,67,80,5.08,broken clouds
97,Salamanca,ES,2022-08-09 05:10:41,40.8333,-6.0,64.74,45,0,3.24,clear sky
98,San Ramon,US,2022-08-09 05:10:43,37.7799,-121.978,65.41,82,0,8.05,clear sky
99,Tiksi,RU,2022-08-09 05:10:43,71.6872,128.8694,56.5,62,87,13.15,overcast clouds
100,Khatanga,RU,2022-08-09 05:10:44,71.9667,102.5,67.01,52,39,20.11,scattered clouds
101,Pine Hill,US,2022-08-09 05:10:44,39.7843,-74.9921,84.02,83,29,1.99,scattered clouds
102,Danielskuil,ZA,2022-08-09 05:10:45,-28.1887,23.5395,41.97,62,38,4.56,scattered clouds
103,Waipawa,NZ,2022-08-09 05:10:45,-41.4122,175.5153,45.05,82,100,18.25,overcast clouds
104,Albany,US,2022-08-09 05:10:15,42.6001,-73.9662,78.24,86,84,5.93,broken clouds
105,Longyearbyen,SJ,2022-08-09 05:10:45,78.2186,15.6401,46.24,81,75,10.36,broken clouds
106,Tuktoyaktuk,CA,2022-08-09 05:10:46,69.4541,-133.0374,55.38,65,94,15.55,overcast clouds
107,Clyde River,CA,2022-08-09 05:10:46,70.4692,-68.5914,39.63,82,95,11.68,overcast clouds
108,Velykyy Burluk,UA,2022-08-09 05:10:47,50.0379,37.3987,75.81,42,66,5.55,broken clouds
109,Kruisfontein,ZA,2022-08-09 05:10:37,-34.0033,24.7314,49.89,88,77,7.72,broken clouds
110,Sabla,NG,2022-08-09 05:10:47,12.7525,4.7077,76.5,81,100,1.48,overcast clouds
111,Nikolskoye,RU,2022-08-09 05:10:48,59.7035,30.7861,59.92,87,64,0.78,broken clouds
112,Padang,ID,2022-08-09 05:10:48,-0.9492,100.3543,86.05,67,18,5.82,few clouds
113,Victoria,HK,2022-08-09 05:07:10,22.2855,114.1577,82.26,89,100,15.99,moderate rain
114,Pangnirtung,CA,2022-08-09 05:10:49,66.1451,-65.7125,42.31,82,43,1.3,scattered clouds
115,Kvarkeno,RU,2022-08-09 05:10:49,52.0833,59.725,74.86,58,31,13.4,light rain
116,Avera,US,2022-08-09 05:10:49,33.194,-82.5271,75.25,74,81,5.44,broken clouds
117,Northam,GB,2022-08-09 05:10:50,51.0333,-4.2167,57.38,79,5,5.82,clear sky
118,Kitimat,CA,2022-08-09 05:10:50,54.0524,-128.6534,60.91,46,2,2.21,clear sky
119,Tepechitlan,MX,2022-08-09 05:10:51,21.6667,-103.3333,66.25,64,99,4.45,overcast clouds
120,Margate,GB,2022-08-09 05:10:51,51.3813,1.3862,63.7,94,5,3.0,clear sky
121,Port Hardy,CA,2022-08-09 05:10:51,50.6996,-127.4199,55.29,91,0,8.14,clear sky
122,Todos Santos,MX,2022-08-09 05:10:52,23.45,-110.2167,82.65,88,94,3.11,overcast clouds
123,Chapais,CA,2022-08-09 05:10:52,49.7834,-74.8492,49.14,95,100,4.81,overcast clouds
124,Chokurdakh,RU,2022-08-09 05:10:53,70.6333,147.9167,69.49,54,76,8.75,broken clouds
125,Port Alfred,ZA,2022-08-09 05:10:53,-33.5906,26.891,60.08,82,88,12.73,overcast clouds
126,Muros,ES,2022-08-09 05:10:54,42.7762,-9.0603,65.84,85,1,4.88,clear sky
127,Marzuq,YE,2022-08-09 05:10:54,14.4,46.4667,78.76,65,78,8.12,broken clouds
128,Hambantota,LK,2022-08-09 05:10:54,6.1241,81.1185,84.52,66,82,19.15,broken clouds
129,Samarai,PG,2022-08-09 05:10:55,-10.6167,150.6667,80.92,66,74,12.8,broken clouds
130,Mahajanga,MG,2022-08-09 05:10:55,-15.7167,46.3167,71.17,58,3,14.38,clear sky
131,Avarua,CK,2022-08-09 05:08:28,-21.2078,-159.775,73.45,64,40,10.36,scattered clouds
132,Rio Grande,BR,2022-08-09 05:11:56,-32.035,-52.0986,52.95,78,49,15.05,scattered clouds
133,Jumla,NP,2022-08-09 05:11:56,29.2747,82.1838,67.62,80,100,3.8,overcast clouds
134,San Carlos,VE,2022-08-09 05:11:57,9.6612,-68.5827,73.35,91,13,3.22,few clouds
135,Tura,IN,2022-08-09 05:11:57,25.5198,90.2201,86.7,65,7,6.33,clear sky
136,Napasar,IN,2022-08-09 05:11:57,27.9667,73.55,95.31,46,39,8.86,scattered clouds
137,Hualmay,PE,2022-08-09 05:11:58,-11.0964,-77.6139,60.75,85,33,8.39,scattered clouds
138,Rapid Valley,US,2022-08-09 05:11:58,44.0625,-103.1463,77.63,57,0,5.75,clear sky
139,Hilo,US,2022-08-09 05:11:58,19.7297,-155.09,83.28,87,20,1.01,few clouds
140,Ponta Do Sol,PT,2022-08-09 05:11:59,32.6667,-17.1,70.72,79,1,3.78,clear sky
141,Waingapu,ID,2022-08-09 05:11:59,-9.6567,120.2641,86.99,59,62,17.07,broken clouds
142,Hays,US,2022-08-09 05:12:00,30.0502,-98.0336,82.92,76,64,1.99,broken clouds
143,Gondanglegi,ID,2022-08-09 05:12:00,-7.7479,112.0132,88.07,53,6,14.81,clear sky
144,Bredasdorp,ZA,2022-08-09 05:12:00,-34.5322,20.0403,50.29,89,5,3.04,clear sky
145,Kyren,RU,2022-08-09 05:12:01,51.6828,102.1408,72.1,49,86,3.42,overcast clouds
146,Palmer,US,2022-08-09 05:12:01,42.1584,-72.3287,78.66,84,100,5.75,overcast clouds
147,Thompson,CA,2022-08-09 05:12:02,55.7435,-97.8558,59.34,95,63,3.36,broken clouds
148,Saryg-Sep,RU,2022-08-09 05:12:02,51.5,95.6,80.6,28,100,3.56,overcast clouds
149,Sergeyevka,KZ,2022-08-09 05:12:03,53.88,67.4158,68.07,57,98,11.41,overcast clouds
150,Kaitangata,NZ,2022-08-09 05:12:03,-46.2817,169.8464,42.17,66,17,11.41,few clouds
151,Naze,JP,2022-08-09 05:12:04,28.3667,129.4833,83.41,68,90,9.06,overcast clouds
152,Churapcha,RU,2022-08-09 05:12:04,62.0025,132.4325,61.12,63,100,0.81,overcast clouds
153,Rincon,US,2022-08-09 05:12:05,32.296,-81.2354,81.86,89,0,4.61,clear sky
154,Kahului,US,2022-08-09 05:11:46,20.8947,-156.47,80.62,72,40,21.85,scattered clouds
155,Anadyr,RU,2022-08-09 05:12:06,64.75,177.4833,52.3,53,0,8.95,clear sky
156,Kieta,PG,2022-08-09 05:12:06,-6.2167,155.6333,83.86,71,62,6.24,broken clouds
157,Borovoy,RU,2022-08-09 05:12:06,55.4333,86.0833,77.68,53,0,11.18,clear sky
158,Adrar,MR,2022-08-09 05:12:07,20.5022,-10.0711,94.75,9,65,12.21,broken clouds
159,Abnub,EG,2022-08-09 05:12:08,27.2696,31.1511,86.77,32,1,7.58,clear sky
160,Barrow,US,2022-08-09 05:12:08,71.2906,-156.7887,42.82,75,100,8.05,overcast clouds
161,Castro,BR,2022-08-09 05:12:08,-24.7911,-50.0119,55.63,98,100,7.94,light rain
162,Olga,RU,2022-08-09 05:12:09,43.7444,135.2892,76.28,62,62,8.59,broken clouds
163,Wahiawa,US,2022-08-09 05:12:09,21.5028,-158.0236,77.32,70,0,5.75,clear sky
164,Cherskiy,RU,2022-08-09 05:12:10,68.75,161.3,73.24,37,62,17.27,broken clouds
165,Presidencia Roque Saenz Pena,AR,2022-08-09 05:12:10,-26.7852,-60.4388,54.25,75,75,7.76,broken clouds
166,Genhe,CN,2022-08-09 05:12:10,50.7833,121.5167,70.21,29,60,16.31,broken clouds
167,Flinders,AU,2022-08-09 05:12:11,-34.5833,150.8552,56.17,82,100,5.99,light rain
168,La Ronge,CA,2022-08-09 05:12:11,55.1001,-105.2842,55.42,82,51,15.08,broken clouds
169,Soroca,MD,2022-08-09 05:12:12,48.1558,28.2975,66.4,69,70,9.19,broken clouds
170,Kulhudhuffushi,MV,2022-08-09 05:12:12,6.6221,73.07,80.98,82,98,15.23,overcast clouds
171,Rolla,US,2022-08-09 05:12:12,37.9514,-91.7713,73.15,94,100,6.55,overcast clouds
