City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
177,Guerrero Negro,MX,74.57,scattered clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
180,Roma,US,77.67,broken clouds,43.2128,-75.4557,Wingate By Wyndham Rome
184,Catuday,PH,81.18,light rain,16.2923,119.8062,Benjie's Kubo & Cottages
187,Bethel,US,81.01,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
188,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
189,Mayskiy,RU,74.61,clear sky,47.6931,40.1025,Dio Lakrua
190,Jiuquan,CN,80.15,overcast clouds,39.7432,98.5174,Jiuquan Hotel
191,Santhia,IT,74.66,clear sky,45.3663,8.1726,Hotel
195,Ndioum,SN,84.58,few clouds,16.5129,-14.6471,l'hôtel samassa
196,Porto Walter,BR,72.7,scattered clouds,-8.2686,-72.7439,Hotel Silva
197,Los Llanos De Aridane,ES,70.12,overcast clouds,28.6585,-17.9182,Valle Aridane
198,Cap Malheureux,MU,71.47,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
199,Saint George,US,92.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
200,Cabo San Lucas,MX,84.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
201,Port Hedland,AU,86.05,few clouds,-20.3167,118.5667,The Esplanade Hotel
203,Antsohihy,MG,76.37,clear sky,-14.8796,47.9875,Hotel de Ville
205,Fereydun Kenar,IR,80.96,light rain,36.6864,52.5225,Khezer Shahr Tourist Hotel
207,Krasnovishersk,RU,74.82,scattered clouds,60.4078,57.082,Vishera hotel
208,Angoche,MZ,71.01,light rain,-16.2325,39.9086,Guest House HESADA
209,Lorengau,PG,84.02,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
210,Sirjan,IR,87.71,clear sky,29.452,55.6814,MAPNA Building
211,Cockburn Town,TC,81.55,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
212,San Patricio,US,84.88,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
213,Severnyy,RU,71.64,clear sky,50.677,36.5532,Full House North Mini-Hotel
214,Pierre,US,73.85,clear sky,44.3683,-100.351,Ramkota Hotel
217,Dingle,PH,84.52,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
219,Namatanai,PG,84.16,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
220,Cururupu,BR,73.45,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
223,Lekoni,GA,73.11,broken clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
225,Hannibal,US,72.7,broken clouds,39.7084,-91.3585,Country Hearth Inn Hannibal
226,Camocim,BR,74.34,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
228,Isangel,VU,75.54,broken clouds,-19.55,169.2667,Tanna Lodge
230,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
231,Muisne,EC,73.81,overcast clouds,0.6,-80.0333,Quinta Samay
238,North Myrtle Beach,US,82.06,clear sky,33.816,-78.68,Avista Resort
239,Sevierville,US,76.17,clear sky,35.8681,-83.5618,The Lodge at Five Oaks
241,Hovd,MN,74.14,overcast clouds,48.0056,91.6419,Hotel Khovd
244,Fallon,US,71.47,scattered clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
245,Buala,SB,83.8,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
246,Shu,KZ,85.69,few clouds,43.5983,73.7614,Shyngyzkhan
248,San Ignacio,BZ,75.34,clear sky,17.1561,-89.0714,Rainforest Haven Inn
249,Kijang,KR,86.0,overcast clouds,35.2442,129.2139,Samyang Beach Villa
254,Palomares,MX,72.05,overcast clouds,17.15,-95.0667,Hotel Monarca
256,Lewistown,US,78.33,clear sky,40.5992,-77.5714,Quality Inn & Suites
257,Olinda,BR,73.13,overcast clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
260,Krasnoselkup,RU,82.99,clear sky,65.7,82.4667,Krasnosel'kupnefteprodukt
265,Singaparna,ID,81.73,broken clouds,-7.3515,108.111,Wisma Dewi Hotel
267,Alofi,NU,75.09,clear sky,-19.0595,-169.9187,Taloa Heights
