City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Hobart,AU,2022-08-08 21:57:31,-42.8794,147.3294,36.05,93,20,5.75
68,Mataundh,IN,2022-08-08 21:57:32,25.45,80.15,85.3,67,62,7.09
69,Santa Cruz,BO,2022-08-08 21:57:32,-17.8,-63.1667,64.45,94,75,11.5
70,Nyuksenitsa,RU,2022-08-08 21:57:33,60.4128,44.2397,56.89,74,98,3.87
71,Yellowknife,CA,2022-08-08 21:55:02,62.456,-114.3525,66.72,42,75,9.22
72,Cidreira,BR,2022-08-08 21:57:33,-30.1811,-50.2056,59.05,86,100,14.63
73,Qostanay,KZ,2022-08-08 21:54:41,53.1667,63.5833,62.89,72,0,6.71
74,Upernavik,GL,2022-08-08 21:57:34,72.7868,-56.1549,43.23,76,100,6.58
75,Saint-Philippe,RE,2022-08-08 21:57:34,-21.3585,55.7679,64.22,78,46,10.74
76,Sabang,ID,2022-08-08 21:57:35,5.8933,95.3214,81.99,74,100,18.88
77,Nanortalik,GL,2022-08-08 21:57:35,60.1432,-45.2371,45.12,82,100,5.7
78,Khatanga,RU,2022-08-08 21:57:35,71.9667,102.5,56.64,94,100,8.43
79,Fremont,US,2022-08-08 21:53:38,37.5483,-121.9886,88.56,53,0,17.27
80,Tasiilaq,GL,2022-08-08 21:57:36,65.6145,-37.6368,38.21,98,100,2.8
81,Awbari,LY,2022-08-08 21:57:36,26.5921,12.7805,87.31,19,2,9.69
82,Callaway,US,2022-08-08 21:57:41,30.153,-85.5699,84.97,74,100,1.99
83,Port Hawkesbury,CA,2022-08-08 21:57:41,45.6169,-61.3485,68.18,75,100,4.61
84,Ipixuna,BR,2022-08-08 21:57:42,-1.7625,-48.8043,79.79,76,91,5.84
85,Ilhabela,BR,2022-08-08 21:57:42,-23.7781,-45.3581,68.09,91,100,6.82
86,Kapaa,US,2022-08-08 21:57:42,22.0752,-159.319,82.18,74,27,5.99
87,Tanabe,JP,2022-08-08 21:57:43,33.7333,135.3667,82.08,85,100,4.61
88,Lieksa,FI,2022-08-08 21:57:43,63.3167,30.0167,58.62,67,100,2.95
89,Cayenne,GF,2022-08-08 21:55:24,4.9333,-52.3333,84.24,1,0,4.61
90,Cape Town,ZA,2022-08-08 21:56:32,-33.9258,18.4232,55.27,88,0,3.44
91,Kerema,PG,2022-08-08 21:58:44,-7.9631,145.7785,77.99,87,82,5.79
92,Zapolyarnyy,RU,2022-08-08 21:58:45,69.4154,30.8136,49.28,86,79,6.22
93,Portland,US,2022-08-08 21:57:39,45.5234,-122.6762,91.45,40,11,3.04
94,Esperance,AU,2022-08-08 21:58:45,-33.8667,121.9,51.71,89,100,12.44
95,Thompson,CA,2022-08-08 21:58:46,55.7435,-97.8558,68.16,83,75,0.0
96,Bluff,NZ,2022-08-08 21:58:46,-46.6,168.3333,34.81,66,2,17.87
97,Nouadhibou,MR,2022-08-08 21:58:46,20.931,-17.0347,75.18,83,3,9.22
98,Kaitangata,NZ,2022-08-08 21:58:47,-46.2817,169.8464,41.4,64,43,10.16
99,Cherskiy,RU,2022-08-08 21:58:47,68.75,161.3,60.28,34,96,11.68
100,Tuktoyaktuk,CA,2022-08-08 21:58:48,69.4541,-133.0374,60.8,72,100,11.5
101,Bredasdorp,ZA,2022-08-08 21:58:48,-34.5322,20.0403,52.97,96,100,4.41
